破碎 完好
破碎 完整
酥软 坚硬
炎热 寒冷
炎热 
聪明 愚笨
聪明 糊涂
聪明 愚蠢
空虚 充实
晦暗 明亮
晦暗 光亮
勇敢 胆小
勇敢 胆怯
勇敢 懦弱
宽容 严格
宽容 狭隘
表扬 批判
表扬 批评
一向 偶尔
善良 凶恶
寂静 喧哗
寂静 喧嚣
寂静 热闹
穷苦 富裕
穷苦 富有
精致 简陋
精致 粗糙
精致 蹩脚
健康 虚弱
健康 生病
健康 不适
健康 衰弱
健康 疾病
忧虑 安心
忧虑 放心
糟糕 精彩
潮湿 干燥
潮湿 乾燥
潮湿 滋润
寂寞 喧闹
寂寞 热闹
奴隶 自由
奴隶 主人
统一 分裂
统一 对立
繁荣 衰败
繁荣 荒芜
权利 义务
名副其实 徒有虚名
名副其实 名不副实
名副其实 色厉内荏
名副其实 虚有其表
雪中送炭 雪上加霜
雪中送炭 落井下石
雪中送炭 见义勇为
歪歪斜斜 端端正正
风平浪静 狂风恶浪
风平浪静 风吹雨打
风平浪静 风号浪啸
风平浪静 天摇地动
风平浪静 风号浪吼
迷迷糊糊 清清楚楚
全神贯注 心不在焉
全神贯注 三心二意
全神贯注 心神不定
全神贯注 麻痹大意
断断续续 一气呵成
断断续续 连续不断
断断续续 连绵不断
赏心悦目 触目惊心
一丝不苟 丢三落四
一丝不苟 马马虎虎
一丝不苟 粗心大意
一丝不苟 粗枝大叶
一丝不苟 敷衍了事
力倦神疲 精力充沛
万马奔腾 无声无息
万马奔腾 万马齐喑
暖暖和和 冷冷清清
吞吞吐吐 干干脆脆
吞吞吐吐 指天画地
毫不犹豫 犹豫不决
别具一格 千篇一律
别具一格 普普通通
熙熙攘攘 冷冷清清
熙熙攘攘 门庭冷落
心惊肉跳 处变不惊
心惊肉跳 心安理得
心惊肉跳 镇定自若
心惊肉跳 镇定自如
理直气壮 理屈词穷
理直气壮 振振有词
理直气壮 义正词严
一朝一夕 日久天长
悔过自新 执迷不悟
群策群力 朋比为奸
群策群力 独断专行
群策群力 孤掌难鸣
废寝忘食 无所事事
废寝忘食 饱食终日
沸沸扬扬 鸦雀无声
翻来覆去 简单明了
吵吵嚷嚷 冷冷清清
唇枪舌剑 心平气和
粗制滥造 精耕细作
粗制滥造 精雕细刻
安居乐业 十室九空
安居乐业 颠沛流离
安居乐业 兵荒马乱
安居乐业 流离转徙
香 臭
明 暗
明 幽
明 昏花
凉 暖
凉 温
尖 钝
左 右
入 出
斜 正
落 升
落 添
饿 饱
贫 富
穷 富
告别 相逢
告别 见面
告别 相聚
告别 会合
舒服 难受
出发 归来
出发 到达
安宁 动乱
安宁 骚扰
安宁 纷乱
安宁 混乱
安宁 喧闹
空闲 忙碌
空闲 繁忙
空闲 紧张
打开 关上
打开 关了
打开 关闭
打开 关掉
流动 静止
流动 固定
流动 凝滞
流动 冻结
暖和 寒冷
暖和 阴冷
暖和 凉爽
弯曲 笔直
微笑 悲伤
昂首 低头
昂首 不屈
昂首 俯首
昂首 横眉
昂首 抬头
现在 将来
现在 过去
欢快 烦闷
欢快 痛苦
欢快 沉重
欢快 悲伤
欢快 忧愁
机灵 古板
机灵 笨拙
机灵 死板
机灵 愚笨
机灵 拙笨
明白 糊涂
明白 疑惑
希望 失望
希望 绝望
傍晚 薄暮
傍晚 早晨
傍晚 拂晓
傍晚 清晨
傍晚 黎明
秘密 公开
高大 瘦小
高大 矮小
坚定 动摇
坚定 犹疑
坚定 犹
张开 合拢
张开 合上
张开 闭合
经常 偶尔
愤怒 高兴
愤怒 开心
清楚 模糊
保护 破坏
保护 损坏
失败 成功
失败 取胜
敞开 封闭
敞开 关闭
敞开 关门
烦恼 高兴
漂亮 丑陋
洁净 肮脏
洁净 污秽
心爱 厌恶
极小 极大
好事 坏事
奔跑 停止
灾害 幸福
坚硬 柔软
坚硬 松软
堵塞 疏通
堵塞 畅通
贵重 低贱
贵重 便宜
锋利 迟钝
锋利 锐利
锋利 滞钝
锋利 和缓
聚集 分离
聚集 分散
新鲜 腐烂
新鲜 陈旧
新鲜 陈腐
未来 从前
未来 已往
未来 现在
赶紧 迟缓
赶紧 拖延
赶紧 缓慢
透明 浑浊
凉爽 炎热
凉爽 闷热
永远 暂时
永远 短暂
广阔 狭窄
广阔 狭隘
广阔 狭小
广阔 窄小
裂开 合拢
